VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 1.000126e+00 9.998366e-01 1.000088e+00 1.000178e+00 1.195153e+00 2 0 3.578488e-04 -2.782007e-04 -2.648520e-04 3.243075e-04 1.334875e-05
3.725982e-01 -6.213940e+00 1.000217e+00 9.997717e-01 1.000166e+00 1.000304e+00 1.195139e+00 2 0 1.287168e-04 -2.880736e-04 -7.338703e-05 3.427123e-04 2.146866e-04
1.154849e-01 -6.488678e+00 1.000215e+00 9.997614e-01 1.000150e+00 1.000302e+00 1.195124e+00 2 0 3.427399e-04 -4.505720e-05 -2.442133e-04 1.479190e-04 -1.991561e-04
1.225982e-01 -6.237983e+00 1.000241e+00 9.997564e-01 1.000181e+00 1.000337e+00 1.195134e+00 2 0 8.406080e-05 -3.934582e-05 -6.202499e-05 1.498213e-04 -2.267918e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 1.000221e+00 9.997667e-01 1.000171e+00 1.000310e+00 1.195138e+00 2 0 1.045368e-04 -6.499799e-05 -5.464832e-05 1.776836e-04 1.034967e-05
3.750000e-01 -5.963714e+00 1.000257e+00 9.997557e-01 1.000211e+00 1.000360e+00 1.195147e+00 2 0 -1.151601e-04 -6.322443e-05 1.485501e-04 1.841087e-04 2.117746e-04
1.225982e-01 -6.237983e+00 1.000245e+00 9.997523e-01 1.000186e+00 1.000342e+00 1.195133e+00 2 0 6.206268e-05 1.524467e-04 -4.346683e-05 -1.776930e-05 -1.959135e-04
1.250000e-01 -5.987748e+00 1.000216e+00 9.997960e-01 1.000176e+00 1.000302e+00 1.195160e+00 2 0 -1.813040e-04 1.704384e-04 1.514260e-04 -3.312151e-05 -1.901240e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 -5.963714e+00 1.000262e+00 9.997506e-01 1.000217e+00 1.000367e+00 1.195147e+00 2 0 -1.453235e-04 1.670313e-04 1.789954e-04 -2.562123e-05 1.196409e-05
3.725982e-01 -5.713940e+00 1.000230e+00 9.997997e-01 1.000203e+00 1.000322e+00 1.195175e+00 2 0 -2.961984e-04 1.889327e-04 3.299430e-04 -4.341897e-05 1.410103e-04
1.250000e-01 -5.987748e+00 1.000220e+00 9.997932e-01 1.000179e+00 1.000307e+00 1.195160e+00 2 0 -2.043228e-04 3.087766e-04 1.751589e-04 -1.833731e-04 -1.336177e-04
1.225982e-01 -5.737983e+00 1.000143e+00 9.998763e-01 1.000127e+00 1.000199e+00 1.195197e+00 2 0 -3.609741e-04 3.387055e-04 3.214058e-04 -2.164874e-04 -1.729964e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -5.713940e+00 1.000234e+00 9.997965e-01 1.000207e+00 1.000328e+00 1.195175e+00 2 0 -3.222385e-04 3.418677e-04 3.621668e-04 -2.215187e-04 2.029903e-05
3.654849e-01 -5.464609e+00 1.000143e+00 9.998906e-01 1.000141e+00 1.000199e+00 1.195214e+00 2 0 -3.575758e-04 3.819306e-04 3.997598e-04 -2.647215e-04 1.782923e-05
1.225982e-01 -5.737983e+00 1.000144e+00 9.998760e-01 1.000128e+00 1.000201e+00 1.195197e+00 2 0 -3.764802e-04 3.653772e-04 3.415026e-04 -2.832150e-04 -2.387451e-05
1.154849e-01 -5.488678e+00 1.000043e+00 9.999728e-01 1.000050e+00 1.000059e+00 1.195233e+00 2 0 -3.944203e-04 3.980941e-04 3.821940e-04 -3.218972e-04 -1.590010e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -5.464609e+00 1.000144e+00 9.998909e-01 1.000142e+00 1.000201e+00 1.195214e+00 2 0 -3.681843e-04 3.909530e-04 4.189989e-04 -3.310127e-04 2.804591e-05
3.539337e-01 -5.215698e+00 1.000029e+00 9.999953e-01 1.000050e+00 1.000040e+00 1.195249e+00 2 0 -2.858284e-04 4.323073e-04 3.300007e-04 -3.818303e-04 -1.023065e-04
1.154849e-01 -5.488678e+00 1.000042e+00 9.999753e-01 1.000048e+00 1.000058e+00 1.195233e+00 2 0 -3.950673e-04 3.015597e-04 3.893317e-04 -2.736803e-04 8.777202e-05
1.039337e-01 -5.239808e+00 9.999526e-01 1.000054e+00 9.999758e-01 9.999329e-01 1.195258e+00 2 0 -2.839518e-04 3.235709e-04 3.114994e-04 -2.999278e-04 -1.207152e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -5.215698e+00 1.000027e+00 9.999987e-01 1.000047e+00 1.000037e+00 1.195250e+00 2 0 -2.765405e-04 3.012816e-04 3.270686e-04 -3.096311e-04 2.578696e-05
3.383883e-01 -4.967169e+00 9.999340e-01 1.000076e+00 9.999662e-01 9.999069e-01 1.195270e+00 2 0 -1.301190e-04 3.234667e-04 1.653753e-04 -3.418509e-04 -1.580914e-04
1.039337e-01 -5.239808e+00 9.999495e-01 1.000058e+00 9.999715e-01 9.999287e-01 1.195259e+00 2 0 -2.699503e-04 1.560838e-04 3.028821e-04 -1.689210e-04 1.467982e-04
8.838834e-02 -4.991329e+00 9.999010e-01 1.000096e+00 9.999296e-01 9.998611e-01 1.195268e+00 2 0 -1.030043e-04 1.597165e-04 1.537819e-04 -1.731327e-04 -5.934688e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383883e-01 -4.967169e+00 9.999301e-01 1.000080e+00 9.999612e-01 9.999015e-01 1.195270e+00 2 0 -1.078859e-04 1.316373e-04 1.447371e-04 -1.827925e-04 1.309978e-05
3.194463e-01 -4.718966e+00 9.998874e-01 1.000109e+00 9.999190e-01 9.998421e-01 1.195272e+00 2 0 2.436436e-05 1.274990e-04 -3.954661e-06 -1.832388e-04 -1.314537e-04
8.838834e-02 -4.991329e+00 9.998978e-01 1.000100e+00 9.999257e-01 9.998566e-01 1.195268e+00 2 0 -8.304058e-05 4.689778e-06 1.358779e-04 -3.354039e-05 1.311881e-04
6.944627e-02 -4.743186e+00 9.998954e-01 1.000097e+00 9.999207e-01 9.998537e-01 1.195264e+00 2 0 5.275586e-05 -6.444302e-06 -6.773904e-06 -2.067267e-05 -3.296018e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 -4.718966e+00 9.998839e-01 1.000112e+00 9.999149e-01 9.998373e-01 1.195273e+00 2 0 4.616878e-05 -2.697602e-05 -2.799252e-05 -2.905388e-05 -1.016498e-06
2.978354e-01 -4.471026e+00 9.998914e-01 1.000099e+00 9.999148e-01 9.998481e-01 1.195263e+00 2 0 1.124216e-04 -4.729020e-05 -1.055264e-04 -6.747724e-06 -5.823624e-05
6.944627e-02 -4.743186e+00 9.998936e-01 1.000099e+00 9.999187e-01 9.998511e-01 1.195264e+00 2 0 6.814751e-05 -9.012254e-05 -2.332197e-05 6.481089e-05 6.680057e-05
4.783542e-02 -4.495305e+00 9.999216e-01 1.000072e+00 9.999392e-01 9.998905e-01 1.195254e+00 2 0 1.272850e-04 -1.055578e-04 -1.030976e-04 8.216403e-05 2.460149e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -4.471026e+00 9.998897e-01 1.000100e+00 9.999131e-01 9.998458e-01 1.195263e+00 2 0 1.240618e-04 -1.123749e-04 -1.205346e-04 7.653370e-05 -8.159643e-06
2.743863e-01 -4.223270e+00 9.999249e-01 1.000067e+00 9.999387e-01 9.998952e-01 1.195250e+00 2 0 1.232629e-04 -1.326744e-04 -1.241439e-04 1.017980e-04 8.530529e-06
4.783542e-02 -4.495305e+00 9.999213e-01 1.000072e+00 9.999393e-01 9.998902e-01 1.195254e+00 2 0 1.330582e-04 -1.123453e-04 -1.112922e-04 9.774147e-05 1.053095e-06
2.438628e-02 -4.247606e+00 9.999569e-01 1.000040e+00 9.999671e-01 9.999400e-01 1.195243e+00 2 0 1.245485e-04 -1.233170e-04 -1.207739e-04 1.097224e-04 2.543137e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 -4.223270e+00 9.999251e-01 1.000066e+00 9.999391e-01 9.998954e-01 1.195250e+00 2 0 1.238547e-04 -1.195522e-04 -1.270715e-04 1.070095e-04 -7.519369e-06
2.500000e-01 -3.975614e+00 9.999625e-01 1.000034e+00 9.999692e-01 9.999478e-01 1.195239e+00 2 0 8.818115e-05 -1.302218e-04 -9.072516e-05 1.215080e-04 3.949664e-05
2.438628e-02 -4.247606e+00 9.999577e-01 1.000039e+00 9.999682e-01 9.999411e-01 1.195243e+00 2 0 1.224889e-04 -8.600612e-05 -1.205094e-04 7.980255e-05 -3.450329e-05
