VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 1.535391e+00 1.000038e+00 9.999807e-01 1.000146e+00 1.000053e+00 1.195295e+00 0 0 4.124910e-05 4.497232e-05 5.714756e-05 -2.295609e-05 1.217523e-05
-7.627402e+00 1.786060e+00 1.000013e+00 9.999924e-01 1.000139e+00 1.000019e+00 1.195304e+00 0 0 2.639690e-05 4.867171e-05 4.911333e-05 -2.832403e-05 4.416162e-07
-7.884515e+00 1.511322e+00 1.000052e+00 9.999692e-01 1.000132e+00 1.000072e+00 1.195277e+00 0 0 4.041360e-05 5.809098e-05 5.627833e-05 -1.418204e-05 -1.812651e-06
-7.877402e+00 1.762017e+00 1.000024e+00 9.999844e-01 1.000128e+00 1.000033e+00 1.195290e+00 0 0 2.540389e-05 6.186394e-05 4.905775e-05 -1.687601e-05 -1.280619e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 1.786060e+00 1.000014e+00 9.999929e-01 1.000140e+00 1.000019e+00 1.195305e+00 0 0 2.868029e-05 3.213190e-05 5.139160e-05 -7.195852e-05 1.925970e-05
-7.625000e+00 2.036286e+00 9.999919e-01 1.000001e+00 1.000122e+00 9.999884e-01 1.195304e+00 0 0 9.378464e-06 3.331616e-05 3.236527e-05 -7.296160e-05 -9.508918e-07
-7.877402e+00 1.762017e+00 1.000024e+00 9.999846e-01 1.000129e+00 1.000034e+00 1.195291e+00 0 0 2.731262e-05 5.001541e-05 5.041469e-05 -5.060188e-05 3.992818e-07
-7.875000e+00 2.012252e+00 9.999947e-01 9.999972e-01 1.000115e+00 9.999923e-01 1.195297e+00 0 0 6.946664e-06 5.261400e-05 3.330713e-05 -5.380780e-05 -1.930687e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.625000e+00 2.036286e+00 9.999933e-01 1.000001e+00 1.000121e+00 9.999904e-01 1.195304e+00 0 0 1.111450e-05 1.740248e-05 3.869193e-05 -1.512408e-04 2.128945e-05
-7.627402e+00 2.286060e+00 9.999738e-01 1.000005e+00 1.000084e+00 9.999630e-01 1.195288e+00 0 0 -9.058872e-06 1.699935e-05 1.519318e-05 -1.529627e-04 -1.806167e-06
-7.875000e+00 2.012252e+00 9.999960e-01 9.999976e-01 1.000116e+00 9.999942e-01 1.195297e+00 0 0 8.718895e-06 3.715067e-05 3.902596e-05 -1.257555e-04 1.875295e-06
-7.877402e+00 2.262017e+00 9.999667e-01 1.000007e+00 1.000083e+00 9.999531e-01 1.195291e+00 0 0 -1.285040e-05 3.843541e-05 1.773783e-05 -1.316588e-04 -2.069758e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 2.286060e+00 9.999754e-01 1.000005e+00 1.000083e+00 9.999652e-01 1.195288e+00 0 0 -8.045144e-06 2.972578e-06 2.264214e-05 -2.284611e-04 1.966956e-05
-7.634515e+00 2.535391e+00 9.999575e-01 1.000006e+00 1.000025e+00 9.999401e-01 1.195258e+00 0 0 -2.524718e-05 3.847461e-06 -4.730438e-07 -2.434510e-04 -4.320505e-06
-7.877402e+00 2.262017e+00 9.999682e-01 1.000007e+00 1.000083e+00 9.999551e-01 1.195290e+00 0 0 -1.141094e-05 2.030024e-05 2.492284e-05 -2.036207e-04 4.622602e-06
-7.884515e+00 2.511322e+00 9.999412e-01 1.000012e+00 1.000031e+00 9.999173e-01 1.195269e+00 0 0 -2.971717e-05 2.267203e-05 2.928199e-06 -2.219826e-04 -1.974383e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 2.535391e+00 9.999576e-01 1.000006e+00 1.000024e+00 9.999403e-01 1.195257e+00 0 0 -2.418150e-05 -1.566608e-05 1.209630e-06 -2.474282e-04 1.687571e-05
-7.646066e+00 2.784302e+00 9.999487e-01 1.000002e+00 9.999616e-01 9.999280e-01 1.195220e+00 0 0 -3.421519e-05 -1.346025e-05 -2.223840e-05 -2.732407e-04 -8.778153e-06
-7.884515e+00 2.511322e+00 9.999413e-01 1.000013e+00 1.000029e+00 9.999173e-01 1.195268e+00 0 0 -2.787284e-05 -5.235745e-06 4.492036e-06 -2.226895e-04 9.727781e-06
-7.896066e+00 2.760192e+00 9.999267e-01 1.000011e+00 9.999734e-01 9.998972e-01 1.195237e+00 0 0 -3.822473e-05 -2.097748e-06 -2.038331e-05 -2.491600e-04 -1.828556e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.646066e+00 2.784302e+00 9.999465e-01 1.000003e+00 9.999581e-01 9.999248e-01 1.195218e+00 0 0 -3.241097e-05 -4.384783e-05 -3.154138e-05 -1.611171e-04 1.230646e-05
-7.661612e+00 3.032832e+00 9.999636e-01 9.999921e-01 9.999211e-01 9.999493e-01 1.195185e+00 0 0 -3.156052e-05 -4.386431e-05 -5.588165e-05 -1.738496e-04 -1.201735e-05
-7.896066e+00 2.760192e+00 9.999245e-01 1.000012e+00 9.999696e-01 9.998940e-01 1.195236e+00 0 0 -3.539657e-05 -4.360773e-05 -2.947469e-05 -1.373998e-04 1.413305e-05
-7.911612e+00 3.008671e+00 9.999403e-01 1.000001e+00 9.999390e-01 9.999166e-01 1.195207e+00 0 0 -3.395697e-05 -4.377864e-05 -5.790230e-05 -1.478069e-04 -1.412366e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.661612e+00 3.032832e+00 9.999600e-01 9.999929e-01 9.999167e-01 9.999441e-01 1.195184e+00 0 0 -2.948729e-05 -7.651399e-05 -7.300294e-05 1.093541e-05 3.511054e-06
-7.680554e+00 3.281034e+00 1.000015e+00 9.999731e-01 9.999274e-01 1.000022e+00 1.195165e+00 0 0 -1.713266e-05 -8.215683e-05 -9.218611e-05 3.619422e-05 -1.002928e-05
-7.911612e+00 3.008671e+00 9.999369e-01 1.000002e+00 9.999345e-01 9.999118e-01 1.195206e+00 0 0 -3.090664e-05 -8.664294e-05 -7.406291e-05 2.619913e-05 1.258003e-05
-7.930554e+00 3.256815e+00 9.999932e-01 9.999794e-01 9.999495e-01 9.999911e-01 1.195187e+00 0 0 -1.750814e-05 -9.366541e-05 -9.763196e-05 5.488950e-05 -3.966547e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.680554e+00 3.281034e+00 1.000013e+00 9.999733e-01 9.999253e-01 1.000018e+00 1.195165e+00 0 0 -1.648796e-05 -9.503052e-05 -1.047474e-04 1.617698e-04 -9.716893e-06
-7.702165e+00 3.528974e+00 1.000092e+00 9.999489e-01 9.999748e-01 1.000129e+00 1.195161e+00 0 0 3.019949e-06 -1.051603e-04 -1.074034e-04 2.222185e-04 -2.243111e-06
-7.930554e+00 3.256815e+00 9.999913e-01 9.999798e-01 9.999475e-01 9.999885e-01 1.195187e+00 0 0 -1.631914e-05 -1.116347e-04 -1.084312e-04 1.579656e-04 3.203446e-06
-7.952165e+00 3.504695e+00 1.000072e+00 9.999510e-01 9.999961e-01 1.000101e+00 1.195179e+00 0 0 3.791263e-06 -1.236221e-04 -1.119536e-04 2.200131e-04 1.166848e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.702165e+00 3.528974e+00 1.000093e+00 9.999482e-01 9.999777e-01 1.000132e+00 1.195161e+00 0 0 5.599288e-07 -7.920701e-05 -1.024114e-04 1.615960e-04 -2.320435e-05
-7.725614e+00 3.776730e+00 1.000155e+00 9.999284e-01 1.000022e+00 1.000218e+00 1.195161e+00 0 0 1.974693e-05 -8.757204e-05 -8.094533e-05 2.199757e-04 6.626717e-06
-7.952165e+00 3.504695e+00 1.000074e+00 9.999502e-01 9.999993e-01 1.000104e+00 1.195180e+00 0 0 1.257032e-06 -9.617805e-05 -1.050608e-04 1.343763e-04 -8.882768e-06
-7.975614e+00 3.752394e+00 1.000134e+00 9.999262e-01 1.000036e+00 1.000188e+00 1.195174e+00 0 0 1.988128e-05 -1.055916e-04 -7.877128e-05 1.908036e-04 2.682036e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.725614e+00 3.776730e+00 1.000160e+00 9.999269e-01 1.000029e+00 1.000225e+00 1.195164e+00 0 0 1.422859e-05 -2.635286e-05 -5.683767e-05 -2.932347e-05 -3.048481e-05
-7.750000e+00 4.024386e+00 1.000158e+00 9.999215e-01 1.000016e+00 1.000222e+00 1.195154e+00 0 0 2.756234e-05 -2.573485e-05 -1.652324e-05 -1.929614e-05 9.211617e-06
-7.975614e+00 3.752394e+00 1.000139e+00 9.999245e-01 1.000044e+00 1.000196e+00 1.195176e+00 0 0 1.389791e-05 -3.948208e-05 -5.369794e-05 -7.100495e-05 -1.421586e-05
-8.000000e+00 4.000000e+00 1.000135e+00 9.999161e-01 1.000020e+00 1.000188e+00 1.195158e+00 0 0 2.567329e-05 -3.824302e-05 -4.886054e-06 -6.539529e-05 3.335696e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 4.024386e+00 1.000164e+00 9.999199e-01 1.000025e+00 1.000229e+00 1.195156e+00 0 0 2.140774e-05 3.973480e-05 1.228293e-05 -2.999222e-04 -2.745187e-05
-7.774386e+00 4.272034e+00 1.000083e+00 9.999317e-01 9.999370e-01 1.000115e+00 1.195131e+00 0 0 2.975116e-05 5.181566e-05 5.253862e-05 -3.557101e-04 7.229621e-07
-8.000000e+00 4.000000e+00 1.000140e+00 9.999144e-01 1.000028e+00 1.000196e+00 1.195161e+00 0 0 1.920732e-05 2.934871e-05 2.321156e-05 -3.360090e-04 -6.137148e-06
-8.024386e+00 4.247606e+00 1.000059e+00 9.999240e-01 9.999311e-01 1.000081e+00 1.195129e+00 0 0 2.617243e-05 4.341502e-05 7.013059e-05 -3.953675e-04 2.671558e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.774386e+00 4.272034e+00 1.000084e+00 9.999310e-01 9.999401e-01 1.000117e+00 1.195132e+00 0 0 2.652444e-05 8.027450e-05 6.418156e-05 -4.471866e-04 -1.609294e-05
-7.797835e+00 4.519764e+00 9.999595e-01 9.999524e-01 9.998170e-01 9.999422e-01 1.195101e+00 0 0 3.733287e-05 9.857525e-05 8.138393e-05 -5.383616e-04 -1.719132e-05
-8.024386e+00 4.247606e+00 1.000060e+00 9.999234e-01 9.999335e-01 1.000082e+00 1.195129e+00 0 0 2.329320e-05 6.625518e-05 7.956970e-05 -4.574459e-04 1.331452e-05
-8.047835e+00 4.495305e+00 9.999402e-01 9.999414e-01 9.998083e-01 9.999152e-01 1.195094e+00 0 0 3.435028e-05 8.662409e-05 9.640318e-05 -5.481995e-04 9.779089e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.797835e+00 4.519764e+00 9.999549e-01 9.999532e-01 9.998125e-01 9.999356e-01 1.195100e+00 0 0 3.921852e-05 6.766102e-05 6.284340e-05 -3.228166e-04 -4.817614e-06
-7.819446e+00 4.767666e+00 9.998553e-01 9.999693e-01 9.997304e-01 9.997970e-01 1.195084e+00 0 0 6.223966e-05 8.149941e-05 4.375000e-05 -3.879172e-04 -3.774941e-05
-8.047835e+00 4.495305e+00 9.999349e-01 9.999425e-01 9.998030e-01 9.999077e-01 1.195093e+00 0 0 3.737745e-05 4.194904e-05 7.520696e-05 -2.991240e-04 3.325792e-05
-8.069446e+00 4.743186e+00 9.998477e-01 9.999521e-01 9.997277e-01 9.997865e-01 1.195074e+00 0 0 6.290000e-05 5.672434e-05 4.799019e-05 -3.592082e-04 -8.734146e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.819446e+00 4.767666e+00 9.998467e-01 9.999710e-01 9.997206e-01 9.997849e-01 1.195081e+00 0 0 6.793132e-05 8.587868e-06 2.665443e-06 3.964786e-05 -5.922425e-06
-7.838388e+00 5.015824e+00 9.998313e-01 9.999699e-01 9.997414e-01 9.997645e-01 1.195096e+00 0 0 1.101171e-04 8.243054e-06 -4.832892e-05 5.026752e-05 -5.657198e-05
-8.069446e+00 4.743186e+00 9.998387e-01 9.999541e-01 9.997177e-01 9.997738e-01 1.195071e+00 0 0 7.029032e-05 -3.444144e-05 4.982939e-06 8.897791e-05 3.942438e-05
-8.088388e+00 4.991329e+00 9.998391e-01 9.999419e-01 9.997515e-01 9.997755e-01 1.195083e+00 0 0 1.162501e-04 -3.481866e-05 -5.669810e-05 1.065665e-04 -2.187944e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.838388e+00 5.015824e+00 9.998242e-01 9.999713e-01 9.997328e-01 9.997547e-01 1.195093e+00 0 0 1.145163e-04 -5.130594e-05 -8.587837e-05 4.172390e-04 -3.457242e-05
-7.853934e+00 5.264309e+00 9.998982e-01 9.999534e-01 9.998538e-01 9.998590e-01 1.195137e+00 0 0 1.795188e-04 -7.052793e-05 -1.518472e-04 5.023962e-04 -8.131925e-05
-8.088388e+00 4.991329e+00 9.998321e-01 9.999436e-01 9.997434e-01 9.997657e-01 1.195081e+00 0 0 1.227724e-04 -1.153374e-04 -9.509263e-05 4.757183e-04 2.024481e-05
-8.103934e+00 5.239808e+00 9.999190e-01 9.999096e-01 9.998790e-01 9.998882e-01 1.195121e+00 0 0 1.905190e-04 -1.317473e-04 -1.663331e-04 5.657167e-04 -3.458573e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.853934e+00 5.264309e+00 9.998983e-01 9.999529e-01 9.998526e-01 9.998593e-01 1.195136e+00 0 0 1.742249e-04 -4.047260e-05 -1.572766e-04 5.255244e-04 -1.168040e-04
-7.865485e+00 5.513181e+00 1.000004e+00 9.999376e-01 9.999951e-01 1.000006e+00 1.195187e+00 0 0 2.731909e-04 -8.141820e-05 -2.276653e-04 6.276118e-04 -1.462471e-04
-8.103934e+00 5.239808e+00 9.999192e-01 9.999096e-01 9.998787e-01 9.998885e-01 1.195120e+00 0 0 1.889079e-04 -1.378044e-04 -1.727583e-04 5.880252e-04 -3.495393e-05
-8.115485e+00 5.488678e+00 1.000030e+00 9.998705e-01 1.000036e+00 1.000043e+00 1.195165e+00 0 0 2.878614e-04 -1.651370e-04 -2.379222e-04 6.903153e-04 -7.278519e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.865485e+00 5.513181e+00 1.000013e+00 9.999333e-01 1.000003e+00 1.000020e+00 1.195186e+00 0 0 2.456254e-04 1.299366e-04 -1.880409e-04 1.903056e-04 -3.179776e-04
-7.872598e+00 5.762487e+00 1.000063e+00 9.999619e-01 1.000048e+00 1.000089e+00 1.195219e+00 0 0 4.263773e-04 5.942304e-05 -2.894761e-04 2.339440e-04 -3.488991e-04
-8.115485e+00 5.488678e+00 1.000039e+00 9.998678e-01 1.000045e+00 1.000056e+00 1.195166e+00 0 0 2.696052e-04 -4.702616e-05 -2.026530e-04 2.894879e-04 -1.556268e-04
-8.122598e+00 5.737983e+00 1.000087e+00 9.998532e-01 1.000113e+00 1.000122e+00 1.195188e+00 0 0 4.464670e-04 -8.612616e-05 -2.873150e-04 3.291483e-04 -2.011888e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.872598e+00 5.762487e+00 1.000080e+00 9.999513e-01 1.000059e+00 1.000112e+00 1.195216e+00 0 0 3.565208e-04 5.950434e-04 -2.127021e-04 -5.692365e-04 -8.077455e-04
-7.875000e+00 6.012252e+00 1.000016e+00 1.000097e+00 9.999018e-01 1.000022e+00 1.195225e+00 0 0 7.460020e-04 4.521612e-04 -4.302922e-04 -6.227251e-04 -8.824534e-04
-8.122598e+00 5.737983e+00 1.000101e+00 9.998469e-01 1.000125e+00 1.000142e+00 1.195188e+00 0 0 3.998457e-04 2.155360e-04 -2.229286e-04 -3.485609e-04 -4.384646e-04
-8.125000e+00 5.987748e+00 1.000032e+00 9.998997e-01 1.000022e+00 1.000045e+00 1.195175e+00 0 0 7.761363e-04 1.433745e-04 -4.146325e-04 -4.020910e-04 -5.580069e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.875000e+00 6.012252e+00 1.000038e+00 1.000075e+00 9.999090e-01 1.000053e+00 1.195210e+00 0 0 5.893002e-04 1.630331e-03 -3.316524e-04 -1.645143e-03 -1.961983e-03
-7.872598e+00 6.262487e+00 9.998690e-01 1.000479e+00 9.994784e-01 9.998142e-01 1.195236e+00 0 0 1.466540e-03 1.290023e-03 -8.162335e-04 -1.771973e-03 -2.106257e-03
-8.125000e+00 5.987748e+00 1.000048e+00 9.998871e-01 1.000030e+00 1.000067e+00 1.195168e+00 0 0 6.734220e-04 7.785196e-04 -3.425952e-04 -1.152738e-03 -1.121115e-03
-8.122598e+00 6.237983e+00 9.998759e-01 1.000082e+00 9.997235e-01 9.998246e-01 1.195143e+00 0 0 1.520224e-03 6.005694e-04 -8.004014e-04 -1.263001e-03 -1.400971e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.872598e+00 6.262487e+00 9.999026e-01 1.000429e+00 9.994746e-01 9.998612e-01 1.195196e+00 0 0 1.122165e-03 3.824583e-03 -6.833798e-04 -3.197799e-03 -4.507962e-03
-7.865485e+00 6.513181e+00 9.996822e-01 1.001394e+00 9.986597e-01 9.995527e-01 1.195339e+00 0 0 3.081308e-03 3.142497e-03 -1.758447e-03 -3.310887e-03 -4.900944e-03
-8.122598e+00 6.237983e+00 9.998954e-01 1.000055e+00 9.997217e-01 9.998520e-01 1.195121e+00 0 0 1.293759e-03 1.949003e-03 -7.238770e-04 -2.109715e-03 -2.672880e-03
-8.115485e+00 6.488678e+00 9.996793e-01 1.000549e+00 9.991797e-01 9.995487e-01 1.195145e+00 0 0 3.200880e-03 1.527294e-03 -1.757925e-03 -2.197495e-03 -3.285219e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.865485e+00 6.513181e+00 9.997483e-01 1.001291e+00 9.986442e-01 9.996449e-01 1.195253e+00 0 0 2.400313e-03 8.218145e-03 -1.508229e-03 -6.026934e-03 -9.726374e-03
-7.853934e+00 6.764309e+00 9.995304e-01 1.003406e+00 9.971205e-01 9.993448e-01 1.195660e+00 0 0 6.482518e-03 7.075057e-03 -3.829596e-03 -6.016918e-03 -1.090465e-02
-8.115485e+00 6.488678e+00 9.997174e-01 1.000492e+00 9.991681e-01 9.996018e-01 1.195095e+00 0 0 2.745295e-03 4.334074e-03 -1.623821e-03 -3.715595e-03 -5.957895e-03
-8.103934e+00 6.739808e+00 9.995091e-01 1.001618e+00 9.982222e-01 9.993121e-01 1.195253e+00 0 0 6.734475e-03 3.537239e-03 -3.833330e-03 -3.679323e-03 -7.370569e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.853934e+00 6.764309e+00 9.996584e-01 1.003222e+00 9.970971e-01 9.995252e-01 1.195505e+00 0 0 5.285529e-03 1.621870e-02 -3.311052e-03 -1.155833e-02 -1.952975e-02
