VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 -6.464609e+00 1.000171e+00 9.997734e-01 1.000834e+00 1.000239e+00 1.195551e+00 1 0 2.071291e-03 7.985308e-04 -1.479079e-03 -1.113447e-03 -2.277609e-03
-7.627402e+00 -6.213940e+00 1.000159e+00 9.999621e-01 1.000539e+00 1.000223e+00 1.195490e+00 1 0 1.010888e-03 6.986229e-04 -6.539532e-04 -1.194151e-03 -1.352576e-03
-7.884515e+00 -6.488678e+00 1.000230e+00 9.992389e-01 1.001217e+00 1.000321e+00 1.195447e+00 1 0 1.914538e-03 1.966208e-03 -1.331828e-03 -1.891790e-03 -3.298036e-03
-7.877402e+00 -6.237983e+00 1.000201e+00 9.996914e-01 1.000723e+00 1.000281e+00 1.195429e+00 1 0 8.972367e-04 1.753902e-03 -5.301257e-04 -1.989839e-03 -2.284027e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 -6.213940e+00 1.000148e+00 9.999666e-01 1.000534e+00 1.000207e+00 1.195493e+00 1 0 1.009067e-03 3.246236e-04 -7.342622e-04 -4.790617e-04 -1.058886e-03
-7.625000e+00 -5.963714e+00 1.000169e+00 1.000041e+00 1.000416e+00 1.000237e+00 1.195461e+00 1 0 5.916630e-04 2.769871e-04 -2.408912e-04 -4.922421e-04 -5.178783e-04
-7.877402e+00 -6.237983e+00 1.000185e+00 9.997051e-01 1.000721e+00 1.000259e+00 1.195440e+00 1 0 9.520346e-04 8.099327e-04 -6.427235e-04 -9.318203e-04 -1.452656e-03
-7.875000e+00 -5.987748e+00 1.000170e+00 9.998862e-01 1.000484e+00 1.000238e+00 1.195409e+00 1 0 5.393246e-04 6.924184e-04 -1.741966e-04 -9.842921e-04 -8.666151e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.625000e+00 -5.963714e+00 1.000162e+00 1.000042e+00 1.000411e+00 1.000227e+00 1.195460e+00 1 0 5.857985e-04 1.936654e-04 -2.801222e-04 -6.028683e-05 -4.737876e-04
-7.627402e+00 -5.713940e+00 1.000232e+00 1.000089e+00 1.000407e+00 1.000326e+00 1.195469e+00 1 0 4.416586e-04 1.974932e-04 1.720822e-05 6.449048e-07 -1.802850e-04
-7.875000e+00 -5.987748e+00 1.000159e+00 9.998898e-01 1.000478e+00 1.000223e+00 1.195411e+00 1 0 5.557411e-04 3.781468e-04 -2.346802e-04 -3.334768e-04 -6.128270e-04
-7.877402e+00 -5.737983e+00 1.000194e+00 9.999764e-01 1.000403e+00 1.000273e+00 1.195408e+00 1 0 4.025645e-04 3.408516e-04 3.703222e-05 -3.123235e-04 -3.038194e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 -5.713940e+00 1.000229e+00 1.000089e+00 1.000407e+00 1.000322e+00 1.195469e+00 1 0 4.472584e-04 1.469981e-04 2.080079e-05 1.383797e-04 -1.261973e-04
-7.634515e+00 -5.464609e+00 1.000318e+00 1.000125e+00 1.000449e+00 1.000446e+00 1.195495e+00 1 0 3.527758e-04 1.740606e-04 1.019846e-04 2.334382e-04 -7.207601e-05
-7.877402e+00 -5.737983e+00 1.000188e+00 9.999770e-01 1.000399e+00 1.000264e+00 1.195408e+00 1 0 4.104926e-04 2.538196e-04 1.694782e-05 5.006688e-05 -2.368718e-04
-7.884515e+00 -5.488678e+00 1.000272e+00 1.000038e+00 1.000423e+00 1.000382e+00 1.195438e+00 1 0 3.140435e-04 2.664462e-04 8.414216e-05 1.377416e-04 -1.823041e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 -5.464609e+00 1.000321e+00 1.000128e+00 1.000456e+00 1.000451e+00 1.195500e+00 1 0 3.721202e-04 3.477967e-05 1.410323e-04 3.895266e-05 1.062527e-04
-7.646066e+00 -5.215698e+00 1.000361e+00 1.000131e+00 1.000462e+00 1.000506e+00 1.195496e+00 1 0 2.288221e-04 4.557657e-05 -8.079336e-07 8.952135e-05 -4.638450e-05
-7.884515e+00 -5.488678e+00 1.000272e+00 1.000040e+00 1.000425e+00 1.000382e+00 1.195441e+00 1 0 3.283154e-04 1.672551e-04 1.007024e-04 1.467183e-04 -6.655271e-05
-7.896066e+00 -5.239808e+00 1.000352e+00 1.000078e+00 1.000466e+00 1.000494e+00 1.195469e+00 1 0 1.970575e-04 1.867442e-04 -3.356375e-05 2.344961e-04 -2.203079e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.646066e+00 -5.215698e+00 1.000370e+00 1.000135e+00 1.000474e+00 1.000517e+00 1.195504e+00 1 0 2.514290e-04 -1.592941e-04 4.711521e-05 -3.231756e-04 2.064093e-04
-7.661612e+00 -4.967168e+00 1.000304e+00 1.000086e+00 1.000378e+00 1.000424e+00 1.195434e+00 1 0 6.878510e-05 -1.869375e-04 -2.135256e-04 -3.715191e-04 -2.658807e-05
-7.896066e+00 -5.239808e+00 1.000359e+00 1.000082e+00 1.000476e+00 1.000503e+00 1.195476e+00 1 0 2.171133e-04 4.977113e-06 4.833666e-06 -9.673530e-05 -1.434472e-07
-7.911612e+00 -4.991329e+00 1.000361e+00 1.000076e+00 1.000444e+00 1.000505e+00 1.195453e+00 1 0 5.384389e-05 -3.276675e-06 -2.304940e-04 -8.799380e-05 -2.272173e-04
