VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 -6.464609e+00 9.999273e-01 9.999227e-01 9.999427e-01 9.998974e-01 1.195166e+00 1 0 -9.863778e-05 -2.713707e-05 -1.978117e-04 -1.051785e-04 -1.706747e-04
-7.627402e+00 -6.213940e+00 9.999131e-01 9.999210e-01 9.999240e-01 9.998786e-01 1.195157e+00 1 0 3.598980e-05 -5.139949e-06 1.338941e-05 -7.274921e-05 1.852936e-05
-7.884515e+00 -6.488678e+00 9.999754e-01 9.999447e-01 9.999909e-01 9.999638e-01 1.195197e+00 1 0 -8.701840e-05 -1.526425e-04 -1.711592e-04 -3.097125e-04 -1.851665e-05
-7.877402e+00 -6.237983e+00 9.999100e-01 9.999123e-01 9.999221e-01 9.998736e-01 1.195151e+00 1 0 3.334810e-05 -1.358615e-04 2.344753e-05 -2.901585e-04 1.593091e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 -6.213940e+00 9.999109e-01 9.999195e-01 9.999213e-01 9.998755e-01 1.195155e+00 1 0 3.508355e-05 8.115736e-05 1.503386e-05 5.032542e-05 -6.612350e-05
-7.625000e+00 -5.963714e+00 9.999345e-01 9.999431e-01 9.999395e-01 9.999089e-01 1.195174e+00 1 0 8.390035e-05 1.011659e-04 1.111912e-04 8.340106e-05 1.002530e-05
-7.877402e+00 -6.237983e+00 9.999056e-01 9.999092e-01 9.999163e-01 9.998675e-01 1.195147e+00 1 0 2.405180e-05 2.653605e-05 1.297390e-05 -5.909544e-05 -1.356215e-05
-7.875000e+00 -5.987748e+00 9.999058e-01 9.999213e-01 9.999112e-01 9.998685e-01 1.195151e+00 1 0 7.445858e-05 5.399490e-05 1.060310e-04 -1.397083e-05 5.203611e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.625000e+00 -5.963714e+00 9.999342e-01 9.999433e-01 9.999396e-01 9.999086e-01 1.195174e+00 1 0 8.826193e-05 1.029486e-04 1.180934e-04 1.069584e-04 1.514488e-05
-7.627402e+00 -5.713940e+00 9.999655e-01 9.999692e-01 9.999672e-01 9.999523e-01 1.195199e+00 1 0 7.158119e-05 1.104992e-04 1.124768e-04 1.217807e-04 1.977685e-06
-7.875000e+00 -5.987748e+00 9.999039e-01 9.999205e-01 9.999092e-01 9.998659e-01 1.195150e+00 1 0 7.350315e-05 1.098849e-04 1.040155e-04 9.585565e-05 -5.869450e-06
-7.877402e+00 -5.737983e+00 9.999366e-01 9.999501e-01 9.999377e-01 9.999119e-01 1.195176e+00 1 0 6.388083e-05 1.275251e-04 1.030826e-04 1.296428e-04 -2.444257e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 -5.713940e+00 9.999663e-01 9.999701e-01 9.999685e-01 9.999534e-01 1.195200e+00 1 0 7.598215e-05 7.330876e-05 1.181293e-04 8.783419e-05 4.482053e-05
-7.634515e+00 -5.464609e+00 9.999877e-01 9.999868e-01 9.999881e-01 9.999830e-01 1.195216e+00 1 0 3.758462e-05 7.041393e-05 6.823552e-05 8.509055e-05 -2.178415e-06
-7.877402e+00 -5.737983e+00 9.999369e-01 9.999507e-01 9.999385e-01 9.999123e-01 1.195177e+00 1 0 6.710391e-05 1.060052e-04 1.057959e-04 1.285731e-04 -2.093077e-07
-7.884515e+00 -5.488678e+00 9.999705e-01 9.999763e-01 9.999699e-01 9.999591e-01 1.195203e+00 1 0 3.380364e-05 1.088829e-04 6.128288e-05 1.378031e-04 -4.759997e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 -5.464609e+00 9.999885e-01 9.999875e-01 9.999894e-01 9.999842e-01 1.195217e+00 1 0 3.991228e-05 3.386202e-05 7.055807e-05 4.216951e-05 3.669605e-05
-7.646066e+00 -5.215698e+00 9.999969e-01 9.999944e-01 9.999972e-01 9.999957e-01 1.195224e+00 1 0 1.022948e-05 2.769978e-05 2.503073e-05 3.249303e-05 -2.669045e-06
-7.884515e+00 -5.488678e+00 9.999715e-01 9.999773e-01 9.999715e-01 9.999606e-01 1.195205e+00 1 0 3.733097e-05 6.288059e-05 6.479782e-05 8.694973e-05 1.917230e-06
-7.896066e+00 -5.239808e+00 9.999910e-01 9.999912e-01 9.999903e-01 9.999877e-01 1.195220e+00 1 0 9.258310e-06 5.744185e-05 2.201021e-05 7.968410e-05 -3.543164e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.646066e+00 -5.215698e+00 9.999973e-01 9.999947e-01 9.999978e-01 9.999963e-01 1.195225e+00 1 0 1.074662e-05 7.959959e-06 2.493439e-05 6.580617e-06 1.697443e-05
-7.661612e+00 -4.967168e+00 9.999977e-01 9.999959e-01 9.999979e-01 9.999967e-01 1.195225e+00 1 0 -2.204797e-06 3.616709e-06 2.142134e-06 -1.149254e-06 -1.474574e-06
-7.896066e+00 -5.239808e+00 9.999919e-01 9.999919e-01 9.999916e-01 9.999889e-01 1.195221e+00 1 0 1.134039e-05 2.259687e-05 2.422137e-05 3.252454e-05 1.624502e-06
-7.911612e+00 -4.991329e+00 9.999977e-01 9.999962e-01 9.999973e-01 9.999968e-01 1.195225e+00 1 0 -1.983428e-06 1.654700e-05 1.749561e-06 2.199440e-05 -1.479744e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.661612e+00 -4.967168e+00 9.999977e-01 9.999959e-01 9.999980e-01 9.999968e-01 1.195226e+00 1 0 -2.494830e-06 -1.315187e-06 1.189044e-06 -7.692015e-06 2.504231e-06
-7.680554e+00 -4.718966e+00 9.999956e-01 9.999955e-01 9.999958e-01 9.999938e-01 1.195224e+00 1 0 -3.960290e-06 -2.757247e-06 -3.051414e-06 -1.070821e-05 -2.941671e-07
-7.911612e+00 -4.991329e+00 9.999981e-01 9.999964e-01 9.999978e-01 9.999973e-01 1.195226e+00 1 0 -1.330220e-06 1.762663e-06 2.390409e-06 -4.707929e-07 6.277459e-07
-7.930554e+00 -4.743185e+00 9.999969e-01 9.999964e-01 9.999966e-01 9.999956e-01 1.195225e+00 1 0 -3.570545e-06 -1.391145e-06 -2.523164e-06 -6.804001e-06 -1.132019e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.680554e+00 -4.718966e+00 9.999955e-01 9.999954e-01 9.999956e-01 9.999937e-01 1.195224e+00 1 0 -4.319981e-06 -8.964810e-07 -3.890570e-06 -6.557155e-06 -2.994089e-06
-7.702165e+00 -4.471026e+00 9.999941e-01 9.999954e-01 9.999942e-01 9.999917e-01 1.195224e+00 1 0 -1.713833e-06 -5.961343e-07 -3.856328e-07 -6.269124e-06 2.105015e-07
-7.930554e+00 -4.743185e+00 9.999969e-01 9.999964e-01 9.999966e-01 9.999956e-01 1.195225e+00 1 0 -3.654469e-06 -2.779571e-06 -2.815559e-06 -8.712618e-06 -3.598818e-08
-7.952165e+00 -4.495305e+00 9.999946e-01 9.999958e-01 9.999944e-01 9.999923e-01 1.195224e+00 1 0 -1.543299e-06 -3.301480e-06 3.672545e-08 -1.019760e-05 3.338206e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.702165e+00 -4.471026e+00 9.999940e-01 9.999953e-01 9.999941e-01 9.999916e-01 1.195224e+00 1 0 -1.869423e-06 1.940437e-06 -8.384738e-07 2.755132e-08 -2.778911e-06
-7.725614e+00 -4.223270e+00 9.999940e-01 9.999959e-01 9.999943e-01 9.999916e-01 1.195224e+00 1 0 4.816775e-07 2.659826e-06 2.792956e-06 1.381702e-06 1.331303e-07
-7.952165e+00 -4.495305e+00 9.999944e-01 9.999957e-01 9.999942e-01 9.999921e-01 1.195224e+00 1 0 -1.767524e-06 -3.464101e-07 -5.012220e-07 -3.520697e-06 -1.548119e-07
-7.975614e+00 -4.247606e+00 9.999934e-01 9.999957e-01 9.999936e-01 9.999908e-01 1.195224e+00 1 0 4.147575e-07 2.536211e-07 2.810508e-06 -2.498907e-06 2.556886e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.725614e+00 -4.223270e+00 9.999939e-01 9.999959e-01 9.999943e-01 9.999915e-01 1.195224e+00 1 0 5.259633e-07 3.476357e-06 2.630837e-06 5.719698e-06 -8.455196e-07
-7.750000e+00 -3.975614e+00 9.999947e-01 9.999968e-01 9.999958e-01 9.999927e-01 1.195225e+00 1 0 1.488980e-06 3.955220e-06 3.789602e-06 6.779092e-06 -1.656186e-07
-7.975614e+00 -4.247606e+00 9.999933e-01 9.999957e-01 9.999935e-01 9.999906e-01 1.195224e+00 1 0 3.226235e-07 2.345762e-06 2.393529e-06 4.186303e-06 4.776682e-08
-8.000000e+00 -4.000000e+00 9.999936e-01 9.999964e-01 9.999947e-01 9.999911e-01 1.195225e+00 1 0 1.295112e-06 2.975430e-06 3.501813e-06 5.536429e-06 5.263828e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 -3.975614e+00 9.999947e-01 9.999968e-01 9.999958e-01 9.999926e-01 1.195225e+00 1 0 1.643008e-06 3.094434e-06 3.760601e-06 8.675565e-06 6.661669e-07
-7.774386e+00 -3.727966e+00 9.999955e-01 9.999975e-01 9.999979e-01 9.999938e-01 1.195227e+00 1 0 1.611565e-06 3.269796e-06 2.813587e-06 9.112831e-06 -4.562091e-07
-8.000000e+00 -4.000000e+00 9.999935e-01 9.999964e-01 9.999947e-01 9.999910e-01 1.195225e+00 1 0 1.362274e-06 2.973735e-06 3.284763e-06 9.275034e-06 3.110275e-07
-8.024386e+00 -3.752394e+00 9.999943e-01 9.999971e-01 9.999970e-01 9.999921e-01 1.195226e+00 1 0 1.395937e-06 3.290232e-06 2.417156e-06 1.006749e-05 -8.730764e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.774386e+00 -3.727966e+00 9.999955e-01 9.999976e-01 9.999979e-01 9.999938e-01 1.195227e+00 1 0 1.802394e-06 1.552859e-06 2.801894e-06 9.590400e-06 1.249035e-06
-7.797835e+00 -3.480236e+00 9.999959e-01 9.999979e-01 1.000000e+00 9.999942e-01 1.195228e+00 1 0 1.359787e-06 1.452752e-06 9.868132e-07 9.449413e-06 -4.659393e-07
-8.024386e+00 -3.752394e+00 9.999943e-01 9.999971e-01 9.999970e-01 9.999920e-01 1.195226e+00 1 0 1.552330e-06 1.924468e-06 2.333783e-06 1.129364e-05 4.093148e-07
-8.047835e+00 -3.504695e+00 9.999948e-01 9.999975e-01 9.999997e-01 9.999927e-01 1.195228e+00 1 0 1.172826e-06 1.872172e-06 6.486740e-07 1.122377e-05 -1.223498e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.797835e+00 -3.480236e+00 9.999959e-01 9.999979e-01 1.000000e+00 9.999942e-01 1.195228e+00 1 0 1.510508e-06 -8.803871e-09 1.061833e-06 8.834540e-06 1.070637e-06
-7.819446e+00 -3.232334e+00 9.999957e-01 9.999978e-01 1.000002e+00 9.999940e-01 1.195230e+00 1 0 8.584117e-07 -2.126298e-07 -3.437258e-07 8.113900e-06 -1.310959e-07
-8.047835e+00 -3.504695e+00 9.999948e-01 9.999976e-01 9.999998e-01 9.999927e-01 1.195228e+00 1 0 1.305704e-06 5.939636e-07 7.586587e-07 1.025699e-05 1.646950e-07
-8.069446e+00 -3.256814e+00 9.999949e-01 9.999976e-01 1.000002e+00 9.999928e-01 1.195230e+00 1 0 7.061947e-07 4.229946e-07 -5.559272e-07 9.523336e-06 -9.789218e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.819446e+00 -3.232334e+00 9.999957e-01 9.999979e-01 1.000002e+00 9.999940e-01 1.195230e+00 1 0 8.939776e-07 -6.133539e-07 -1.083821e-07 5.899832e-06 5.049718e-07
-7.838388e+00 -2.984176e+00 9.999956e-01 9.999976e-01 1.000004e+00 9.999938e-01 1.195230e+00 1 0 9.534107e-08 -1.039881e-06 -3.965864e-07 4.991195e-06 6.432943e-07
-8.069446e+00 -3.256814e+00 9.999949e-01 9.999977e-01 1.000002e+00 9.999929e-01 1.195230e+00 1 0 7.270891e-07 2.069271e-07 -2.239223e-07 6.343723e-06 -4.308493e-07
