VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 1.000002e+00 9.999997e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.662478e-06 1.222229e-06 1.432805e-06 -3.028084e-06 2.105764e-07
3.725982e-01 -6.213940e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -1.373429e-06 2.189612e-06 1.366568e-06 -4.705345e-06 -8.230446e-07
1.154849e-01 -6.488678e+00 1.000001e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.987110e-06 1.064513e-06 1.236812e-06 -4.041516e-06 1.722988e-07
1.225982e-01 -6.237983e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 -1.264834e-06 1.287452e-06 1.391075e-06 -4.325099e-06 1.036229e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -1.242525e-06 1.048738e-06 1.131650e-06 -2.679243e-06 8.291271e-08
3.750000e-01 -5.963714e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 -1.409096e-07 8.383572e-07 -1.925583e-07 -2.347797e-06 -1.030916e-06
1.225982e-01 -6.237983e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 -1.100838e-06 -2.949980e-09 1.090430e-06 -1.450111e-06 1.093380e-06
1.250000e-01 -5.987748e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 7.344062e-08 -3.115188e-07 -2.332807e-07 -8.505251e-07 7.823806e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 -5.963714e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999999e-01 1.195229e+00 2 0 4.455818e-08 -3.848698e-07 -5.270049e-07 -5.009680e-08 -1.421351e-07
3.725982e-01 -5.713940e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 5.287135e-07 -7.047328e-07 -9.426567e-07 5.766924e-07 -2.379239e-07
1.250000e-01 -5.987748e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 1.993669e-07 -8.739057e-07 -4.798503e-07 5.512271e-07 3.940554e-07
1.225982e-01 -5.737983e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 6.325078e-07 -1.087392e-06 -9.313808e-07 9.996873e-07 1.560115e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -5.713940e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 5.735959e-07 -8.165806e-07 -1.029046e-06 9.593942e-07 -2.124651e-07
3.654849e-01 -5.464609e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 5.303072e-07 -9.297903e-07 -7.088017e-07 1.225253e-06 2.209886e-07
1.225982e-01 -5.737983e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 6.362526e-07 -7.886791e-07 -9.606118e-07 7.654682e-07 -1.719327e-07
1.154849e-01 -5.488678e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 5.408011e-07 -8.157620e-07 -6.565997e-07 8.614668e-07 1.591622e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -5.464609e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 4.908836e-07 -4.864988e-07 -6.350092e-07 5.198937e-07 -1.485103e-07
3.539337e-01 -5.215698e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.948890e-07 -4.581983e-07 -1.996763e-07 4.826580e-07 2.585221e-07
1.154849e-01 -5.488678e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 4.920443e-07 -2.975175e-07 -5.796175e-07 1.097227e-07 -2.821000e-07
1.039337e-01 -5.239808e+00 1.000001e+00 9.999998e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.712398e-07 -2.420057e-07 -1.464068e-07 2.163925e-08 9.559891e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -5.215698e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.486037e-07 -5.567021e-08 -1.139895e-07 -1.859558e-07 -5.831933e-08
3.383883e-01 -4.967169e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 1.021318e-07 -1.587108e-09 1.388984e-07 -3.026829e-07 1.404855e-07
1.039337e-01 -5.239808e+00 1.000001e+00 9.999998e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.304492e-07 9.118804e-08 -7.901133e-08 -4.579741e-07 -1.701994e-07
