VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 1.535391e+00 7.309305e-01 3.301502e-01 6.084670e-01 6.447116e-01 6.229653e-01 3 0 -4.092453e-01 -2.334334e-01 6.559692e-01 3.247738e-01 8.894026e-01
3.725982e-01 1.786060e+00 8.196704e-01 2.808705e-01 6.893048e-01 7.571997e-01 6.545107e-01 3 0 -3.830696e-01 -2.021592e-01 5.303245e-01 2.865623e-01 7.324837e-01
1.154849e-01 1.511322e+00 7.848716e-01 4.238026e-01 4.493073e-01 7.107852e-01 5.485361e-01 3 0 -3.235544e-01 -2.366628e-01 5.230548e-01 4.335380e-01 7.597175e-01
1.225982e-01 1.762017e+00 8.544622e-01 3.728624e-01 5.561047e-01 8.013551e-01 5.843110e-01 3 0 -3.328403e-01 -2.085242e-01 4.485609e-01 3.885095e-01 6.570850e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 1.786060e+00 8.200336e-01 2.727306e-01 6.903032e-01 7.571211e-01 6.528384e-01 3 0 -4.203661e-01 1.440806e-01 5.288802e-01 3.213998e-01 3.847996e-01
3.750000e-01 2.036286e+00 8.939343e-01 3.141196e-01 7.653708e-01 8.549844e-01 7.149651e-01 3 0 -3.557064e-01 1.393108e-01 3.992235e-01 2.829513e-01 2.599128e-01
1.225982e-01 1.762017e+00 8.546255e-01 3.657163e-01 5.566281e-01 8.009550e-01 5.814434e-01 3 0 -3.658048e-01 9.422602e-02 4.455298e-01 4.406480e-01 3.513038e-01
1.250000e-01 2.012252e+00 9.129043e-01 3.953666e-01 6.612907e-01 8.795651e-01 6.633900e-01 3 0 -3.297065e-01 1.008275e-01 3.480361e-01 3.968283e-01 2.472087e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 2.036286e+00 8.947366e-01 3.084032e-01 7.672609e-01 8.554875e-01 7.147298e-01 3 0 -3.830747e-01 3.949146e-01 4.014528e-01 2.852598e-01 6.538152e-03
3.725982e-01 2.286060e+00 9.449215e-01 4.113341e-01 8.318830e-01 9.242898e-01 7.930272e-01 3 0 -3.055018e-01 3.910821e-01 2.822270e-01 2.533506e-01 -1.088551e-01
1.250000e-01 2.012252e+00 9.137867e-01 3.903651e-01 6.626025e-01 8.801647e-01 6.622577e-01 3 0 -3.539802e-01 3.245689e-01 3.501415e-01 3.989396e-01 2.557255e-02
1.225982e-01 2.262017e+00 9.534273e-01 4.765799e-01 7.560754e-01 9.353461e-01 7.626175e-01 3 0 -2.932547e-01 3.315347e-01 2.483268e-01 3.656898e-01 -8.320786e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 2.286060e+00 9.459747e-01 4.090648e-01 8.334542e-01 9.250570e-01 7.934875e-01 3 0 -3.179165e-01 5.090398e-01 2.861319e-01 2.318793e-01 -2.229079e-01
3.654849e-01 2.535391e+00 9.744501e-01 5.395325e-01 8.855448e-01 9.650077e-01 8.806679e-01 3 0 -2.442803e-01 5.145928e-01 1.862952e-01 2.097321e-01 -3.282976e-01
1.225982e-01 2.262017e+00 9.547639e-01 4.745883e-01 7.572354e-01 9.365577e-01 7.625917e-01 3 0 -3.044274e-01 4.373886e-01 2.534507e-01 3.291316e-01 -1.839378e-01
1.154849e-01 2.511322e+00 9.772989e-01 5.877703e-01 8.342173e-01 9.686458e-01 8.663121e-01 3 0 -2.383877e-01 4.490531e-01 1.626440e-01 3.080726e-01 -2.864091e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 2.535391e+00 9.754847e-01 5.400544e-01 8.864770e-01 9.658111e-01 8.816756e-01 3 0 -2.436974e-01 5.098672e-01 1.905875e-01 1.753692e-01 -3.192797e-01
3.539337e-01 2.784302e+00 9.892706e-01 6.691059e-01 9.260295e-01 9.854259e-01 9.674436e-01 3 0 -1.823399e-01 5.177398e-01 1.141693e-01 1.623465e-01 -4.035705e-01
1.154849e-01 2.511322e+00 9.787098e-01 5.882580e-01 8.349495e-01 9.700469e-01 8.670575e-01 3 0 -2.380139e-01 4.478722e-01 1.689563e-01 2.505834e-01 -2.789159e-01
1.039337e-01 2.760192e+00 9.896774e-01 7.022560e-01 8.937331e-01 9.858686e-01 9.624796e-01 3 0 -1.790555e-01 4.584721e-01 9.779763e-02 2.389012e-01 -3.606745e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 2.784302e+00 9.901086e-01 6.711558e-01 9.265124e-01 9.861459e-01 9.688487e-01 3 0 -1.739111e-01 4.373263e-01 1.182095e-01 1.245073e-01 -3.191168e-01
3.383884e-01 3.032831e+00 9.959150e-01 7.803689e-01 9.547881e-01 9.944864e-01 1.042929e+00 3 0 -1.271640e-01 4.410390e-01 6.482816e-02 1.175977e-01 -3.762108e-01
1.039337e-01 2.760192e+00 9.908858e-01 7.041301e-01 8.941490e-01 9.871619e-01 9.636938e-01 3 0 -1.715700e-01 3.892133e-01 1.040147e-01 1.772632e-01 -2.851986e-01
8.838835e-02 3.008671e+00 9.955438e-01 8.016762e-01 9.358557e-01 9.939270e-01 1.042312e+00 3 0 -1.250168e-01 3.941778e-01 5.410327e-02 1.711258e-01 -3.400745e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383884e-01 3.032831e+00 9.965043e-01 7.828455e-01 9.550698e-01 9.950595e-01 1.044448e+00 3 0 -1.159261e-01 3.330518e-01 6.830240e-02 8.299169e-02 -2.647494e-01
3.194463e-01 3.281034e+00 9.986347e-01 8.648377e-01 9.739811e-01 9.981548e-01 1.101103e+00 3 0 -8.284134e-02 3.314719e-01 3.416662e-02 7.918178e-02 -2.973052e-01
8.838835e-02 3.008671e+00 9.964365e-01 8.039456e-01 9.361211e-01 9.949557e-01 1.043660e+00 3 0 -1.148902e-01 2.987480e-01 5.944324e-02 1.167565e-01 -2.393047e-01
6.944628e-02 3.256814e+00 9.981630e-01 8.776780e-01 9.636027e-01 9.974843e-01 1.101948e+00 3 0 -8.133158e-02 2.979932e-01 2.762841e-02 1.132824e-01 -2.703648e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 3.281034e+00 9.990037e-01 8.670596e-01 9.741834e-01 9.985577e-01 1.102460e+00 3 0 -7.222045e-02 2.292283e-01 3.688360e-02 5.166598e-02 -1.923447e-01
2.978354e-01 3.528974e+00 9.996390e-01 9.226714e-01 9.859378e-01 9.995053e-01 1.141315e+00 3 0 -5.038203e-02 2.244499e-01 1.675830e-02 4.925742e-02 -2.076916e-01
6.944628e-02 3.256814e+00 9.987497e-01 8.797160e-01 9.637991e-01 9.982061e-01 1.103157e+00 3 0 -7.168619e-02 2.065507e-01 3.171612e-02 7.156112e-02 -1.748346e-01
4.783543e-02 3.504695e+00 9.992761e-01 9.299248e-01 9.806022e-01 9.989960e-01 1.142320e+00 3 0 -4.932887e-02 2.024882e-01 1.305131e-02 6.931043e-02 -1.894368e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 3.528974e+00 9.998475e-01 9.243518e-01 9.860885e-01 9.997548e-01 1.142355e+00 3 0 -4.203036e-02 1.440625e-01 1.866826e-02 2.991570e-02 -1.253942e-01
2.743863e-01 3.776730e+00 9.999504e-01 9.587900e-01 9.928638e-01 9.999279e-01 1.166527e+00 3 0 -2.858689e-02 1.385717e-01 7.656536e-03 2.829476e-02 -1.309151e-01
4.783543e-02 3.504695e+00 9.996257e-01 9.314657e-01 9.807475e-01 9.994485e-01 1.143247e+00 3 0 -4.171035e-02 1.301315e-01 1.586011e-02 4.079357e-02 -1.142714e-01
2.438630e-02 3.752394e+00 9.997232e-01 9.626257e-01 9.902883e-01 9.996106e-01 1.167272e+00 3 0 -2.789709e-02 1.252558e-01 5.694450e-03 3.926936e-02 -1.195614e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 3.776730e+00 1.000058e+00 9.599100e-01 9.929665e-01 1.000066e+00 1.167230e+00 3 0 -2.283207e-02 8.322874e-02 8.865173e-03 1.610738e-02 -7.436357e-02
2.500000e-01 4.024386e+00 1.000016e+00 9.795126e-01 9.965968e-01 1.000020e+00 1.180993e+00 3 0 -1.512297e-02 7.857712e-02 3.252314e-03 1.507054e-02 -7.532481e-02
2.438630e-02 3.752394e+00 9.999150e-01 9.636516e-01 9.903860e-01 9.998674e-01 1.167898e+00 3 0 -2.263631e-02 7.527947e-02 7.440795e-03 2.165127e-02 -6.783867e-02
6.698724e-09 4.000000e+00 9.998931e-01 9.814085e-01 9.954296e-01 9.998481e-01 1.181443e+00 3 0 -1.471475e-02 7.110137e-02 2.279631e-03 2.067847e-02 -6.882174e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 4.024386e+00 1.000068e+00 9.801843e-01 9.966592e-01 1.000089e+00 1.181419e+00 3 0 -1.156603e-02 4.440672e-02 3.948311e-03 8.083989e-03 -4.045840e-02
2.256137e-01 4.272034e+00 1.000016e+00 9.904876e-01 9.984745e-01 1.000021e+00 1.188639e+00 3 0 -7.455858e-03 4.112281e-02 1.278989e-03 7.481426e-03 -3.984382e-02
6.698724e-09 4.000000e+00 9.999910e-01 9.820229e-01 9.954884e-01 9.999821e-01 1.181822e+00 3 0 -1.146110e-02 4.019705e-02 3.272041e-03 1.072182e-02 -3.692501e-02
-2.438628e-02 4.247606e+00 9.999564e-01 9.913624e-01 9.979780e-01 9.999380e-01 1.188876e+00 3 0 -7.240935e-03 3.723536e-02 8.268133e-04 1.015867e-02 -3.640854e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
