VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 9.998640e-01 1.000125e+00 9.998898e-01 9.998098e-01 1.195270e+00 2 0 1.504582e-04 -1.469284e-04 -1.473468e-04 8.884030e-05 -4.184088e-07
3.725982e-01 -6.213940e+00 9.999018e-01 1.000086e+00 9.999158e-01 9.998630e-01 1.195253e+00 2 0 1.454690e-04 -1.691552e-04 -1.570972e-04 1.181970e-04 1.205794e-05
1.154849e-01 -6.488678e+00 9.999027e-01 1.000089e+00 9.999230e-01 9.998641e-01 1.195259e+00 2 0 1.646650e-04 -1.408825e-04 -1.413173e-04 1.141217e-04 -4.347397e-07
1.225982e-01 -6.237983e+00 9.999410e-01 1.000054e+00 9.999524e-01 9.999178e-01 1.195246e+00 2 0 1.500890e-04 -1.529029e-04 -1.559035e-04 1.310866e-04 -3.000652e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 9.999017e-01 1.000085e+00 9.999159e-01 9.998628e-01 1.195253e+00 2 0 1.464037e-04 -1.580903e-04 -1.625520e-04 1.418418e-04 -4.461692e-06
3.750000e-01 -5.963714e+00 9.999463e-01 1.000046e+00 9.999522e-01 9.999252e-01 1.195240e+00 2 0 1.053861e-04 -1.671498e-04 -1.211816e-04 1.573349e-04 4.596824e-05
1.225982e-01 -6.237983e+00 9.999416e-01 1.000053e+00 9.999534e-01 9.999186e-01 1.195246e+00 2 0 1.483319e-04 -1.176146e-04 -1.571972e-04 1.098616e-04 -3.958251e-05
1.250000e-01 -5.987748e+00 9.999743e-01 1.000025e+00 9.999798e-01 9.999643e-01 1.195237e+00 2 0 1.007373e-04 -1.192476e-04 -1.191814e-04 1.137298e-04 6.620678e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 -5.963714e+00 9.999474e-01 1.000045e+00 9.999537e-01 9.999267e-01 1.195240e+00 2 0 9.947089e-05 -1.125358e-04 -1.167159e-04 1.182812e-04 -4.180145e-06
3.725982e-01 -5.713940e+00 9.999801e-01 1.000018e+00 9.999821e-01 9.999723e-01 1.195233e+00 2 0 5.554574e-05 -1.109391e-04 -6.596013e-05 1.193638e-04 4.497902e-05
1.250000e-01 -5.987748e+00 9.999754e-01 1.000024e+00 9.999812e-01 9.999657e-01 1.195237e+00 2 0 9.496283e-05 -6.954954e-05 -1.144080e-04 6.864331e-05 -4.485841e-05
1.225982e-01 -5.737983e+00 9.999944e-01 1.000008e+00 9.999969e-01 9.999923e-01 1.195233e+00 2 0 4.909069e-05 -6.568082e-05 -6.429750e-05 6.456671e-05 1.383322e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -5.713940e+00 9.999813e-01 1.000017e+00 9.999836e-01 9.999740e-01 1.195233e+00 2 0 4.866807e-05 -5.656384e-05 -5.848121e-05 6.502250e-05 -1.917367e-06
3.654849e-01 -5.464609e+00 9.999974e-01 1.000004e+00 9.999981e-01 9.999964e-01 1.195230e+00 2 0 1.987680e-05 -5.081650e-05 -2.351509e-05 5.859798e-05 2.730141e-05
1.225982e-01 -5.737983e+00 9.999952e-01 1.000007e+00 9.999978e-01 9.999934e-01 1.195232e+00 2 0 4.370865e-05 -2.818025e-05 -5.853163e-05 2.639129e-05 -3.035138e-05
1.154849e-01 -5.488678e+00 1.000002e+00 1.000001e+00 1.000003e+00 1.000003e+00 1.195230e+00 2 0 1.561356e-05 -2.363368e-05 -2.253806e-05 2.066518e-05 1.095618e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -5.464609e+00 9.999981e-01 1.000003e+00 9.999990e-01 9.999974e-01 1.195230e+00 2 0 1.539399e-05 -1.803128e-05 -1.799847e-05 2.081521e-05 3.280465e-08
3.539337e-01 -5.215698e+00 1.000002e+00 9.999998e-01 1.000003e+00 1.000003e+00 1.195230e+00 2 0 3.125136e-06 -1.320419e-05 -2.872760e-06 1.415844e-05 1.033143e-05
1.154849e-01 -5.488678e+00 1.000003e+00 1.000000e+00 1.000004e+00 1.000004e+00 1.195230e+00 2 0 1.256232e-05 -5.601407e-06 -1.883987e-05 1.617682e-06 -1.323847e-05
1.039337e-01 -5.239808e+00 1.000003e+00 9.999994e-01 1.000004e+00 1.000004e+00 1.195230e+00 2 0 1.446443e-06 -2.805022e-06 -2.495907e-06 -2.118700e-06 3.091150e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -5.215698e+00 1.000003e+00 9.999996e-01 1.000003e+00 1.000004e+00 1.195230e+00 2 0 1.361489e-06 -1.313189e-06 -5.621601e-07 -6.831548e-07 7.510289e-07
3.383883e-01 -4.967169e+00 1.000002e+00 9.999996e-01 1.000002e+00 1.000003e+00 1.195229e+00 2 0 -1.080697e-06 9.455783e-07 2.186904e-06 -4.200291e-06 1.241326e-06
1.039337e-01 -5.239808e+00 1.000003e+00 9.999994e-01 1.000004e+00 1.000004e+00 1.195230e+00 2 0 4.627123e-07 1.446582e-06 -1.218805e-06 -5.762329e-06 -2.665386e-06
8.838834e-02 -4.991329e+00 1.000002e+00 9.999998e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.307418e-06 2.361081e-06 2.229231e-06 -6.987029e-06 -1.318502e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383883e-01 -4.967169e+00 1.000002e+00 9.999996e-01 1.000002e+00 1.000003e+00 1.195229e+00 2 0 -1.288880e-06 1.866587e-06 2.408629e-06 -4.928867e-06 5.420422e-07
3.194463e-01 -4.718966e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -4.706081e-07 2.245670e-06 1.068930e-06 -5.613161e-06 -1.176741e-06
8.838834e-02 -4.991329e+00 1.000001e+00 9.999999e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.291369e-06 1.234140e-06 2.156025e-06 -4.256959e-06 9.218844e-07
6.944627e-02 -4.743186e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -2.797760e-07 1.150231e-06 1.029660e-06 -4.049668e-06 -1.205711e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 -4.718966e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -2.483894e-07 5.649093e-07 6.543904e-07 -2.470941e-06 8.948113e-08
