VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 9.999989e-01 1.000036e+00 1.000034e+00 9.999973e-01 1.195271e+00 2 0 -2.225833e-04 2.951271e-04 3.175453e-04 -3.574701e-04 2.241821e-05
3.725982e-01 -6.213940e+00 9.999086e-01 1.000105e+00 9.999486e-01 9.998714e-01 1.195283e+00 2 0 -7.209603e-05 2.965523e-04 1.345392e-04 -3.689516e-04 -1.620131e-04
1.154849e-01 -6.488678e+00 9.999295e-01 1.000081e+00 9.999606e-01 9.999006e-01 1.195271e+00 2 0 -2.144543e-04 1.448024e-04 2.983654e-04 -1.885479e-04 1.535630e-04
1.225982e-01 -6.237983e+00 9.998877e-01 1.000111e+00 9.999203e-01 9.998426e-01 1.195274e+00 2 0 -4.334320e-05 1.301508e-04 1.237380e-04 -1.767383e-04 -6.412823e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 9.999043e-01 1.000109e+00 9.999434e-01 9.998654e-01 1.195283e+00 2 0 -4.802593e-05 9.693622e-05 1.104916e-04 -1.892052e-04 1.355535e-05
3.750000e-01 -5.963714e+00 9.998692e-01 1.000127e+00 9.999027e-01 9.998167e-01 1.195278e+00 2 0 6.862945e-05 7.766383e-05 -3.976638e-05 -1.736483e-04 -1.174302e-04
1.225982e-01 -6.237983e+00 9.998845e-01 1.000114e+00 9.999166e-01 9.998381e-01 1.195275e+00 2 0 -2.306123e-05 -1.639480e-05 1.041487e-04 -3.520353e-05 1.205435e-04
1.250000e-01 -5.987748e+00 9.998878e-01 1.000105e+00 9.999137e-01 9.998430e-01 1.195266e+00 2 0 9.740253e-05 -3.890561e-05 -4.372706e-05 -1.049723e-05 -4.821446e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 -5.963714e+00 9.998656e-01 1.000130e+00 9.998986e-01 9.998117e-01 1.195278e+00 2 0 8.924812e-05 -6.739555e-05 -6.497896e-05 -9.278508e-06 2.416599e-06
3.725982e-01 -5.713940e+00 9.998809e-01 1.000108e+00 9.999031e-01 9.998336e-01 1.195263e+00 2 0 1.361119e-04 -9.388189e-05 -1.336816e-04 2.070750e-05 -3.979969e-05
1.250000e-01 -5.987748e+00 9.998859e-01 1.000106e+00 9.999119e-01 9.998405e-01 1.195267e+00 2 0 1.116310e-04 -1.114254e-04 -6.068895e-05 7.526192e-05 5.073649e-05
1.225982e-01 -5.737983e+00 9.999177e-01 1.000075e+00 9.999346e-01 9.998851e-01 1.195254e+00 2 0 1.509241e-04 -1.306011e-04 -1.329551e-04 9.842624e-05 -2.353993e-06
