VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
6.767767e-01 3.126715e+00 9.962507e-01 8.011884e-01 9.885338e-01 9.945746e-01 1.076313e+00 3 0 -5.488243e-02 2.810400e-01 9.192159e-02 3.154618e-02 -1.891184e-01
5.956709e-01 3.612740e+00 1.000343e+00 9.281772e-01 9.943613e-01 1.000276e+00 1.149656e+00 3 0 -4.626183e-02 2.548063e-01 2.538475e-02 1.725955e-02 -2.294215e-01
1.767767e-01 3.034599e+00 9.919064e-01 8.014971e-01 9.434088e-01 9.886987e-01 1.047920e+00 3 0 -5.066610e-02 2.785348e-01 6.638084e-02 9.531769e-02 -2.121540e-01
9.567087e-02 3.518767e+00 9.983074e-01 9.260058e-01 9.813235e-01 9.974471e-01 1.140818e+00 3 0 -4.270476e-02 2.521380e-01 8.700186e-03 8.023037e-02 -2.434379e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.956709e-01 3.612740e+00 9.998067e-01 9.334535e-01 9.953858e-01 9.995125e-01 1.153466e+00 3 0 -2.010201e-02 1.128316e-01 2.547601e-02 1.458317e-02 -8.735561e-02
5.000000e-01 4.095671e+00 1.000282e+00 9.811699e-01 9.983092e-01 1.000368e+00 1.182958e+00 3 0 -1.651053e-02 9.235304e-02 4.906814e-03 6.431065e-03 -8.744622e-02
9.567087e-02 3.518767e+00 9.990141e-01 9.316060e-01 9.824553e-01 9.983930e-01 1.144630e+00 3 0 -1.804510e-02 1.165504e-01 1.744158e-02 3.450451e-02 -9.910880e-02
1.339745e-08 4.000000e+00 9.999848e-01 9.802450e-01 9.954976e-01 9.999408e-01 1.180793e+00 3 0 -1.698774e-02 9.459581e-02 1.305880e-04 2.634960e-02 -9.446522e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.000000e-01 4.095671e+00 1.000072e+00 9.830625e-01 9.986792e-01 1.000077e+00 1.184351e+00 3 0 -5.391967e-03 3.318153e-02 5.216272e-03 4.215607e-03 -2.796526e-02
4.043292e-01 4.578062e+00 1.000024e+00 9.962762e-01 9.995597e-01 1.000030e+00 1.192738e+00 3 0 -4.458040e-03 2.456040e-02 6.709046e-04 1.548183e-03 -2.388949e-02
1.339745e-08 4.000000e+00 1.000108e+00 9.822993e-01 9.958766e-01 1.000119e+00 1.182207e+00 3 0 -5.838468e-03 3.489809e-02 3.592221e-03 8.856808e-03 -3.130587e-02
-9.567084e-02 4.481233e+00 9.999851e-01 9.960654e-01 9.991161e-01 9.999777e-01 1.192355e+00 3 0 -4.725040e-03 2.556511e-02 -3.821778e-04 6.196731e-03 -2.594728e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043292e-01 4.578062e+00 9.999657e-01 9.967537e-01 9.996458e-01 9.999492e-01 1.193088e+00 3 0 -1.163146e-03 7.180646e-03 7.900476e-04 9.730502e-04 -6.390598e-03
3.232233e-01 5.062785e+00 9.999807e-01 9.994568e-01 9.999025e-01 9.999733e-01 1.194850e+00 3 0 -8.725382e-04 4.788554e-03 2.036885e-05 4.432439e-04 -4.768185e-03
-9.567084e-02 4.481233e+00 9.999979e-01 9.965848e-01 9.991947e-01 9.999954e-01 1.192709e+00 3 0 -1.278868e-03 7.596846e-03 5.073703e-04 1.738532e-03 -7.089476e-03
-1.767767e-01 4.965401e+00 9.999812e-01 9.994182e-01 9.998563e-01 9.999735e-01 1.194800e+00 3 0 -9.147423e-04 4.999291e-03 -1.648417e-04 1.251163e-03 -5.164133e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
