VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.956709e-01 3.612740e+00 1.000338e+00 9.751392e-01 1.000939e+00 1.000460e+00 1.180961e+00 3 0 -6.701575e-03 1.119842e-01 1.120626e-02 -1.331977e-02 -1.007779e-01
1.767767e-01 3.034599e+00 9.992936e-01 8.975063e-01 9.928370e-01 9.988487e-01 1.131384e+00 3 0 1.029879e-02 1.696327e-01 2.881458e-02 1.676131e-02 -1.408181e-01
9.567087e-02 3.518767e+00 1.000209e+00 9.679134e-01 9.969350e-01 1.000267e+00 1.174315e+00 3 0 -1.333169e-02 1.407299e-01 6.341643e-03 9.394355e-03 -1.343883e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.956709e-01 3.612740e+00 9.997421e-01 9.772960e-01 1.001381e+00 9.996236e-01 1.182644e+00 3 0 4.678171e-03 4.419021e-02 8.412108e-03 2.499277e-04 -3.577810e-02
5.000000e-01 4.095671e+00 1.000062e+00 9.944829e-01 9.999594e-01 1.000083e+00 1.191899e+00 3 0 -2.966268e-03 3.306170e-02 2.282552e-03 -2.796778e-03 -3.077915e-02
9.567087e-02 3.518767e+00 9.999076e-01 9.707846e-01 9.974538e-01 9.998418e-01 1.176394e+00 3 0 1.220899e-03 5.621094e-02 6.777979e-03 6.692017e-03 -4.943296e-02
1.339745e-08 4.000000e+00 1.000048e+00 9.928032e-01 9.991599e-01 1.000063e+00 1.190423e+00 3 0 -5.110258e-03 4.221735e-02 9.425388e-04 3.370077e-03 -4.127481e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.000000e-01 4.095671e+00 9.999121e-01 9.951005e-01 1.000107e+00 9.998756e-01 1.192390e+00 3 0 9.047898e-04 1.069330e-02 1.557876e-03 5.394152e-04 -9.135421e-03
4.043292e-01 4.578062e+00 1.000006e+00 9.990638e-01 9.999566e-01 1.000008e+00 1.194642e+00 3 0 -8.267672e-04 7.298086e-03 3.381827e-04 -4.112083e-04 -6.959903e-03
1.339745e-08 4.000000e+00 9.999707e-01 9.936365e-01 9.993323e-01 9.999560e-01 1.191040e+00 3 0 -4.832777e-05 1.377040e-02 1.208102e-03 1.931112e-03 -1.256230e-02
-9.567084e-02 4.481233e+00 1.000005e+00 9.987729e-01 9.998373e-01 1.000007e+00 1.194397e+00 3 0 -1.307880e-03 9.395265e-03 7.049165e-05 8.554788e-04 -9.324773e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043292e-01 4.578062e+00 9.999785e-01 9.991911e-01 9.999898e-01 9.999699e-01 1.194744e+00 3 0 1.249864e-04 1.929435e-03 2.167811e-04 1.623131e-04 -1.712653e-03
3.232233e-01 5.062785e+00 9.999994e-01 9.998804e-01 9.999900e-01 9.999992e-01 1.195151e+00 3 0 -1.582583e-04 1.210589e-03 3.662965e-05 -3.913139e-05 -1.173960e-03
-9.567084e-02 4.481233e+00 9.999908e-01 9.989446e-01 9.998735e-01 9.999871e-01 1.194525e+00 3 0 -4.720190e-05 2.501026e-03 1.632586e-04 3.789736e-04 -2.337768e-03
-1.767767e-01 4.965401e+00 9.999998e-01 9.998414e-01 9.999771e-01 9.999997e-01 1.195120e+00 3 0 -2.333776e-04 1.564104e-03 -7.380593e-06 1.617787e-04 -1.571484e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 5.062785e+00 9.999959e-01 9.998992e-01 9.999955e-01 9.999942e-01 1.195167e+00 3 0 1.450124e-05 2.570578e-04 2.150665e-05 2.995598e-05 -2.355511e-04
2.690301e-01 5.552432e+00 9.999998e-01 9.999886e-01 9.999987e-01 9.999997e-01 1.195221e+00 3 0 -2.119851e-05 1.498886e-04 2.424684e-06 -1.889234e-06 -1.474639e-04
-1.767767e-01 4.965401e+00 9.999982e-01 9.998670e-01 9.999828e-01 9.999975e-01 1.195139e+00 3 0 -6.774034e-06 3.382491e-04 1.490889e-05 5.420764e-05 -3.233402e-04
-2.309699e-01 5.454897e+00 1.000000e+00 9.999846e-01 9.999977e-01 9.999999e-01 1.195218e+00 3 0 -3.063313e-05 1.959426e-04 -2.366340e-06 2.100937e-05 -1.983089e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 5.552432e+00 9.999994e-01 9.999906e-01 9.999993e-01 9.999992e-01 1.195223e+00 3 0 1.596322e-06 2.514273e-05 1.355678e-06 3.657039e-06 -2.378705e-05
2.500000e-01 6.048773e+00 1.000000e+00 9.999992e-01 9.999999e-01 9.999999e-01 1.195228e+00 3 0 -2.053225e-06 1.376608e-05 9.658422e-08 8.749441e-08 -1.366950e-05
-2.309699e-01 5.454897e+00 9.999998e-01 9.999874e-01 9.999983e-01 9.999997e-01 1.195220e+00 3 0 -4.204167e-07 3.390700e-05 8.653570e-07 5.370374e-06 -3.304164e-05
-2.500000e-01 5.951227e+00 1.000000e+00 9.999989e-01 9.999998e-01 1.000000e+00 1.195228e+00 3 0 -2.918578e-06 1.837052e-05 -3.680076e-07 1.987413e-06 -1.873853e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 6.048773e+00 9.999999e-01 9.999994e-01 9.999999e-01 9.999999e-01 1.195228e+00 3 0 1.707359e-07 1.763425e-06 2.829188e-08 3.639746e-07 -1.735133e-06
2.690301e-01 6.552432e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.401459e-07 9.259045e-07 -2.340192e-09 1.853959e-08 -9.282447e-07
-2.500000e-01 5.951227e+00 1.000000e+00 9.999991e-01 9.999999e-01 1.000000e+00 1.195228e+00 3 0 3.856022e-08 2.503387e-06 -1.552968e-08 4.228599e-07 -2.518917e-06
-2.309699e-01 6.454897e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -2.166790e-07 1.304175e-06 -1.684833e-08 1.066022e-07 -1.321023e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 6.552432e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 1.326576e-08 9.012613e-08 -8.338411e-10 2.144375e-08 -9.095997e-08
3.232233e-01 7.062785e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -7.324575e-09 4.571501e-08 -4.915107e-10 3.846656e-09 -4.620652e-08
-2.309699e-01 6.454897e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 3.453538e-09 1.364913e-07 -1.519223e-09 2.360342e-08 -1.380105e-07
-1.767767e-01 6.965401e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.059212e-08 6.659407e-08 -2.760294e-09 8.094246e-09 -6.935436e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 7.062785e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 8.613468e-10 2.949502e-09 -4.952597e-10 2.127247e-09 -3.444762e-09
4.043291e-01 7.578062e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -2.399458e-10 1.639811e-09 3.064496e-11 -5.542923e-11 -1.609166e-09
-1.767767e-01 6.965401e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 7.354097e-10 5.244349e-09 -7.034236e-10 1.519747e-09 -5.947772e-09
-9.567088e-02 7.481233e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -6.071396e-10 2.894678e-09 2.443781e-10 -2.052953e-10 -2.650300e-09
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043291e-01 7.578062e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 6.466399e-12 1.376152e-10 6.389794e-11 -8.923654e-11 -7.371728e-11
5.000000e-01 8.095671e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -6.744020e-12 3.668950e-11 -2.127546e-11 6.831958e-11 -5.796496e-11
-9.567088e-02 7.481233e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -5.020127e-11 1.646458e-10 5.176256e-11 7.592035e-11 -1.128833e-10
-2.679490e-08 8.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 1.534364e-11 3.095588e-11 -5.327247e-11 8.862467e-11 -8.422835e-11
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.000000e+00 1.767767e-01 6.305110e-01 1.261558e+00 1.634234e+00 5.239506e-01 1.914064e+00 3 0 -5.607995e-02 -1.020818e+00 1.052216e+00 -1.163334e-01 2.073034e+00
1.095671e+00 6.895483e-01 6.929932e-01 7.418778e-01 1.669225e+00 6.055392e-01 1.651534e+00 3 0 2.533518e-01 -1.047744e+00 7.355633e-01 -1.500584e-02 1.783307e+00
5.000000e-01 9.567086e-02 5.264862e-01 1.396704e+00 1.086571e+00 3.984929e-01 1.719055e+00 3 0 -1.608788e-01 -1.196134e+00 1.254838e+00 -5.408980e-02 2.450972e+00
5.956709e-01 6.127396e-01 5.238172e-01 7.168877e-01 1.273583e+00 4.108273e-01 1.394732e+00 3 0 1.506319e-01 -1.429140e+00 9.334499e-01 3.050598e-01 2.362590e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 6.895483e-01 6.871826e-01 7.223680e-01 1.691110e+00 5.945251e-01 1.670908e+00 3 0 1.872971e-01 -6.650519e-01 8.016641e-01 -4.267512e-01 1.466716e+00
1.176777e+00 1.199541e+00 8.350253e-01 4.585817e-01 1.530885e+00 7.805138e-01 1.397005e+00 3 0 3.732796e-01 -5.555121e-01 5.424175e-01 -3.656702e-01 1.097930e+00
5.956709e-01 6.127396e-01 5.162628e-01 7.098970e-01 1.279785e+00 3.958300e-01 1.412560e+00 3 0 1.432526e-02 -9.592515e-01 1.087325e+00 -1.596939e-01 2.046576e+00
6.767767e-01 1.126715e+00 6.955888e-01 3.173876e-01 1.283100e+00 6.020642e-01 1.200736e+00 3 0 3.573380e-01 -7.419350e-01 5.913899e-01 -6.596326e-02 1.333325e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 1.199541e+00 8.429147e-01 4.318482e-01 1.534055e+00 7.888895e-01 1.392262e+00 3 0 3.088106e-01 1.168482e-04 5.579167e-01 -5.322863e-01 5.577999e-01
1.230970e+00 1.705768e+00 9.480343e-01 4.850203e-01 1.314570e+00 9.321371e-01 1.194279e+00 3 0 3.474156e-01 6.840070e-02 3.347718e-01 -4.342660e-01 2.663711e-01
6.767767e-01 1.126715e+00 7.002757e-01 2.823439e-01 1.291179e+00 6.053282e-01 1.201446e+00 3 0 2.763126e-01 -6.310868e-02 6.103250e-01 -2.955042e-01 6.734337e-01
7.309699e-01 1.635770e+00 8.780938e-01 3.058356e-01 1.188373e+00 8.337024e-01 1.064338e+00 3 0 3.638440e-01 -1.965143e-02 2.990629e-01 -1.905049e-01 3.187144e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 1.705768e+00 9.490885e-01 4.761311e-01 1.313608e+00 9.312800e-01 1.192116e+00 3 0 3.220103e-01 3.588302e-01 3.157517e-01 -3.688639e-01 -4.307851e-02
1.250000e+00 2.207867e+00 9.895394e-01 6.750609e-01 1.144416e+00 9.877279e-01 1.123971e+00 3 0 2.292683e-01 4.047752e-01 1.555747e-01 -3.270665e-01 -2.492005e-01
7.309699e-01 1.635770e+00 8.822298e-01 2.874760e-01 1.192430e+00 8.370820e-01 1.064250e+00 3 0 3.237050e-01 4.348394e-01 2.925254e-01 -2.158773e-01 -1.423139e-01
7.500000e-01 2.138893e+00 9.705289e-01 5.277813e-01 1.094485e+00 9.620396e-01 1.031462e+00 3 0 2.393752e-01 4.717088e-01 1.410242e-01 -1.787020e-01 -3.306846e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e+00 2.207867e+00 9.854537e-01 6.791151e-01 1.144554e+00 9.805799e-01 1.127578e+00 3 0 2.374981e-01 3.599120e-01 1.295063e-01 -1.863050e-01 -2.304057e-01
1.230970e+00 2.705768e+00 9.995040e-01 8.479315e-01 1.051413e+00 9.996256e-01 1.141502e+00 3 0 1.079443e-01 3.497668e-01 6.058782e-02 -1.787796e-01 -2.891790e-01
7.500000e-01 2.138893e+00 9.693477e-01 5.306881e-01 1.097437e+00 9.581053e-01 1.036282e+00 3 0 2.370651e-01 4.972404e-01 1.278647e-01 -1.156859e-01 -3.693757e-01
7.309699e-01 2.635770e+00 9.980436e-01 7.680258e-01 1.034892e+00 9.977692e-01 1.089339e+00 3 0 9.028559e-02 4.933558e-01 5.903557e-02 -1.206647e-01 -4.343202e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 2.705768e+00 9.961919e-01 8.531263e-01 1.052126e+00 9.946799e-01 1.145670e+00 3 0 1.226341e-01 2.131783e-01 4.374333e-02 -7.088654e-02 -1.694349e-01
1.176777e+00 3.199541e+00 1.000577e+00 9.440849e-01 1.014049e+00 1.000812e+00 1.170818e+00 3 0 3.410386e-02 1.894097e-01 2.238095e-02 -7.351970e-02 -1.670288e-01
7.309699e-01 2.635770e+00 9.955274e-01 7.760526e-01 1.036127e+00 9.935212e-01 1.095184e+00 3 0 1.081909e-01 3.158191e-01 4.811341e-02 -4.797377e-02 -2.677056e-01
6.767767e-01 3.126715e+00 1.001034e+00 9.133516e-01 1.008513e+00 1.001392e+00 1.149736e+00 3 0 1.775449e-02 2.841204e-01 2.162156e-02 -5.257354e-02 -2.624989e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 3.199541e+00 9.989309e-01 9.473922e-01 1.014540e+00 9.984790e-01 1.173431e+00 3 0 4.468525e-02 9.298339e-02 1.377896e-02 -2.027087e-02 -7.920442e-02
1.095671e+00 3.689548e+00 1.000197e+00 9.840025e-01 1.002782e+00 1.000268e+00 1.187341e+00 3 0 6.935515e-03 7.445918e-02 6.849082e-03 -2.276726e-02 -6.761010e-02
6.767767e-01 3.126715e+00 9.993802e-01 9.185225e-01 1.009334e+00 9.990238e-01 1.153598e+00 3 0 3.528717e-02 1.389245e-01 1.492273e-02 -1.177387e-02 -1.240018e-01
5.956709e-01 3.612740e+00 1.000418e+00 9.749047e-01 1.001191e+00 1.000570e+00 1.180958e+00 3 0 -2.175367e-04 1.139539e-01 6.234946e-03 -1.562537e-02 -1.077190e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 3.689548e+00 9.996416e-01 9.853649e-01 1.003034e+00 9.994923e-01 1.188431e+00 3 0 1.226774e-02 3.000556e-02 3.529921e-03 -3.915707e-03 -2.647564e-02
1.000000e+00 4.176777e+00 1.000035e+00 9.964688e-01 1.000374e+00 1.000048e+00 1.193336e+00 3 0 6.299183e-04 2.170028e-02 1.616350e-03 -5.291030e-03 -2.008393e-02
5.956709e-01 3.612740e+00 9.998185e-01 9.770754e-01 1.001612e+00 9.997278e-01 1.182637e+00 3 0 8.805995e-03 4.538675e-02 3.669960e-03 -1.140807e-03 -4.171679e-02
5.000000e-01 4.095671e+00 1.000086e+00 9.944262e-01 1.000009e+00 1.000118e+00 1.191889e+00 3 0 -1.629060e-03 3.367238e-02 1.395061e-03 -3.331526e-03 -3.227732e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.000000e+00 4.176777e+00 9.998963e-01 9.968587e-01 1.000462e+00 9.998548e-01 1.193654e+00 3 0 2.538901e-03 7.181029e-03 7.102276e-04 -4.398406e-04 -6.470802e-03
9.043292e-01 4.663007e+00 9.999998e-01 9.994071e-01 1.000026e+00 9.999998e-01 1.194890e+00 3 0 -9.792246e-05 4.748353e-03 2.893979e-04 -9.330114e-04 -4.458955e-03
5.000000e-01 4.095671e+00 9.999315e-01 9.950510e-01 1.000149e+00 9.999027e-01 1.192381e+00 3 0 1.648080e-03 1.095289e-02 7.040697e-04 2.693841e-04 -1.024882e-02
4.043292e-01 4.578062e+00 1.000009e+00 9.990553e-01 9.999632e-01 1.000012e+00 1.194640e+00 3 0 -5.974783e-04 7.419504e-03 2.228156e-04 -4.964942e-04 -7.196688e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
9.043292e-01 4.663007e+00 9.999748e-01 9.994869e-01 1.000047e+00 9.999648e-01 1.194956e+00 3 0 4.026682e-04 1.269756e-03 1.054686e-04 -8.894169e-07 -1.164288e-03
8.232233e-01 5.150611e+00 9.999986e-01 9.999255e-01 9.999986e-01 9.999980e-01 1.195184e+00 3 0 -4.389976e-05 7.763747e-04 3.757620e-05 -1.222027e-04 -7.387985e-04
4.043292e-01 4.578062e+00 9.999811e-01 9.991837e-01 9.999956e-01 9.999736e-01 1.194743e+00 3 0 2.443973e-04 1.966431e-03 9.770114e-05 1.292121e-04 -1.868730e-03
3.232233e-01 5.062785e+00 9.999999e-01 9.998793e-01 9.999908e-01 9.999998e-01 1.195151e+00 3 0 -1.285389e-04 1.227587e-03 2.619400e-05 -5.028914e-05 -1.201393e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
8.232233e-01 5.150611e+00 9.999953e-01 9.999371e-01 1.000002e+00 9.999935e-01 1.195194e+00 3 0 4.970282e-05 1.643978e-04 1.093526e-05 9.390304e-06 -1.534625e-04
7.690301e-01 5.641984e+00 9.999996e-01 9.999931e-01 9.999994e-01 9.999995e-01 1.195224e+00 3 0 -7.902559e-06 9.429746e-05 3.551964e-06 -1.150268e-05 -9.074550e-05
3.232233e-01 5.062785e+00 9.999962e-01 9.998984e-01 9.999962e-01 9.999947e-01 1.195166e+00 3 0 2.852873e-05 2.610178e-04 9.754381e-06 2.674976e-05 -2.512634e-04
2.690301e-01 5.552432e+00 9.999998e-01 9.999885e-01 9.999987e-01 9.999997e-01 1.195221e+00 3 0 -1.829680e-05 1.514679e-04 1.893490e-06 -2.918305e-06 -1.495744e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
7.690301e-01 5.641984e+00 9.999993e-01 9.999943e-01 9.999999e-01 9.999991e-01 1.195225e+00 3 0 4.756907e-06 1.535906e-05 7.236299e-07 1.989517e-06 -1.463543e-05
7.500000e-01 6.138893e+00 9.999999e-01 9.999995e-01 9.999999e-01 9.999999e-01 1.195228e+00 3 0 -8.400361e-07 8.376633e-06 2.211040e-07 -6.708535e-07 -8.155529e-06
