VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
6.767767e-01 -4.873285e+00 9.999991e-01 1.000000e+00 1.000001e+00 9.999988e-01 1.195229e+00 2 0 -1.019535e-07 1.921273e-06 2.508042e-07 4.356560e-06 -1.670468e-06
5.956708e-01 -4.387260e+00 9.999975e-01 1.000001e+00 1.000003e+00 9.999965e-01 1.195232e+00 2 0 6.422351e-07 4.727859e-07 1.859110e-06 5.412354e-06 1.386324e-06
1.767767e-01 -4.965401e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999995e-01 1.195229e+00 2 0 1.743997e-07 1.014290e-06 5.791224e-07 2.573294e-06 -4.351674e-07
9.567084e-02 -4.481233e+00 9.999988e-01 1.000001e+00 1.000001e+00 9.999983e-01 1.195230e+00 2 0 4.515176e-07 1.074476e-06 2.493425e-06 2.885149e-06 1.418949e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.956708e-01 -4.387260e+00 9.999974e-01 1.000001e+00 1.000003e+00 9.999964e-01 1.195231e+00 2 0 -1.022068e-06 6.015674e-06 6.592669e-07 1.357939e-05 -5.356407e-06
5.000000e-01 -3.904329e+00 9.999915e-01 1.000004e+00 1.000010e+00 9.999881e-01 1.195239e+00 2 0 3.288161e-06 5.782022e-06 1.000883e-05 1.835198e-05 4.226810e-06
9.567084e-02 -4.481233e+00 9.999987e-01 1.000001e+00 1.000001e+00 9.999982e-01 1.195230e+00 2 0 -5.351434e-07 4.272175e-06 2.276620e-06 4.938324e-06 -1.995555e-06
-1.339745e-08 -4.000000e+00 9.999966e-01 1.000002e+00 1.000004e+00 9.999952e-01 1.195233e+00 2 0 2.744265e-06 8.679161e-07 8.934036e-06 7.971436e-06 8.066120e-06
